Reino;Nombre Cinetífico;Nombre Común;Estado de Conservación vigente;URL Ficha;
"Animalia";"Bartramia longicauda";"Batitú";"Preocupación menor (LC)";"https://simbio.mma.gob.cl/Especies/Details/4866";
"Animalia";"Tringa solitaria";"Pitotoy solitario";"";"https://simbio.mma.gob.cl/Especies/Details/4867";
"Animalia";"Tringa melanoleuca";"Pitotoy grande";"";"https://simbio.mma.gob.cl/Especies/Details/4868";
"Animalia";"Tringa flavipes";"Pitotoy chico";"Preocupación menor (LC)";"https://simbio.mma.gob.cl/Especies/Details/4869";
"Animalia";"Calidris ferruginea";"";"";"https://simbio.mma.gob.cl/Especies/Details/4870";
"Animalia";"Calidris mauri";"Playero occidental";"";"https://simbio.mma.gob.cl/Especies/Details/4871";
"Animalia";"Calidris melanotos";"Playero pectoral";"";"https://simbio.mma.gob.cl/Especies/Details/4872";
"Animalia";"Calidris minutilla";"Playero enano";"";"https://simbio.mma.gob.cl/Especies/Details/4873";
"Animalia";"Calidris alba";"Playero blanco";"";"https://simbio.mma.gob.cl/Especies/Details/4874";
"Animalia";"Calidris fuscicollis";"Playero de lomo blanco";"";"https://simbio.mma.gob.cl/Especies/Details/4875";
"Animalia";"Calidris pusilla";"Playero semipalmado";"";"https://simbio.mma.gob.cl/Especies/Details/4876";
"Animalia";"Calidris canutus";"Playero ártico";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4877";
"Animalia";"Calidris bairdii";"Playero de Baird";"";"https://simbio.mma.gob.cl/Especies/Details/4878";
"Animalia";"Arenaria interpres";"Playero vuelvepiedras";"";"https://simbio.mma.gob.cl/Especies/Details/4879";
"Animalia";"Numenius phaeopus";"Zarapito común";"Preocupación menor (LC)";"https://simbio.mma.gob.cl/Especies/Details/4880";
"Animalia";"Numenius tahitiensis";"zarapito polinésico";"No presente en Chile";"https://simbio.mma.gob.cl/Especies/Details/4881";
"Animalia";"Actitis macularius";"Playero manchado";"";"https://simbio.mma.gob.cl/Especies/Details/4882";
"Animalia";"Aphriza virgata";"Playero de las rompientes";"";"https://simbio.mma.gob.cl/Especies/Details/4883";
"Animalia";"Gallinago stricklandii";"Becacina grande";"Insuficientemente Conocida";"https://simbio.mma.gob.cl/Especies/Details/4884";
"Animalia";"Gallinago andina";"Becacina de la puna";"";"https://simbio.mma.gob.cl/Especies/Details/4885";
"Animalia";"Gallinago gallinago";"";"";"https://simbio.mma.gob.cl/Especies/Details/4886";
"Animalia";"Gallinago paraguaiae";"Becacina";"Preocupación menor (LC)";"https://simbio.mma.gob.cl/Especies/Details/4887";
"Animalia";"Jacana jacana";"Jacana";"";"https://simbio.mma.gob.cl/Especies/Details/4888";
"Animalia";"Leucocarbo magellanicus";"Cormorán de las rocas";"";"https://simbio.mma.gob.cl/Especies/Details/4889";
"Animalia";"Poikilocarbo gaimardi";"Lile";"Casi amenazada (NT)";"https://simbio.mma.gob.cl/Especies/Details/4890";
"Animalia";"Vultur gryphus";"Cóndor";"Casi amenazada (NT)";"https://simbio.mma.gob.cl/Especies/Details/4891";
"Animalia";"Ciconia maguari";"Pillo";"";"https://simbio.mma.gob.cl/Especies/Details/4892";
