Especie ID;Nombre científico ;Nombre común;Clase;RCE;Titular;Fuente;Link;Usa N. Científico;Usa N. Común;Alcance;Es protagonsita;Tono predominante;Tiene foto
64;Telmatobius halli;sapo ;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
65;Telmatobius vilamensis;rana de Vilama;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
66;Tornatellina aperta;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
67;Tornatellina bilamellata;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
68;Tornatellina callosa;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
69;Tornatellina plicosa;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
70;Tornatellina reclusiana;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
71;Acalodegma vidali;;Insecta;EN;;;;;;;;;
72;Aegla bahamondei;Pancora;Malacostraca;EN;;;;;;;;;
73;Aegla concepcionensis;Pancora;Malacostraca;EN;;;;;;;;;
74;Aegla expansa;Pancora;Malacostraca;EN;;;;;;;;;
75;Aegla laevis;Pancora;Malacostraca;EN;;;;;;;;;
76;Aegla occidentalis;Pancora;Malacostraca;EN;;;;;;;;;
77;Aegla papudo;Pancora;Malacostraca;EN;;;;;;;;;
78;Allograpta robinsoniana;Mosca florícola de Juan Fernández;Insecta;EN;;;;;;;;;
79;Alsodes barrioi;Sapo de Barros;Amphibia;EN-RARA;;;;;;;;;
80;Alsodes cantillanensis;Sapo;Amphibia;EN;;;;;;;;;
81;Alsodes montanus;Sapo de monte;Amphibia;EN-RARA;;;;;;;;;
82;Alsodes tumultuosus;Sapo;Amphibia;EN-RARA;;;;;;;;;
83;Alsodes valdiviensis;Rana de pecho espinoso de Cordillera Pelada;Amphibia;EN;;;;;;;;;
84;Alsodes vanzolinii;Sapo de Vanzolini;Amphibia;EN-RARA;;;;;;;;;
85;Alsodes verrucosus;Sapo de pecho espinoso de verrugas;Amphibia;EN;;;;;;;;;
86;Alyma quiriquinaensis;Típula pintada;Insecta;EN;;;;;;;;;
87;Americobdella valdiviana;Liguay, sanguijuela gigante valdiviana;Clitellata;EN;;;;;;;;;
88;Amphidoxa arctispira;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
89;Amphidoxa ceroides;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
90;Amphidoxa helicophantoides;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
91;Amphidoxa marmorella;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
92;Amphidoxa pusio;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
93;Amphidoxa quadrata;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
94;Amphidoxa selkirki;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
95;Amphidoxa tessellata;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;
96;Anairetes fernandezianus;Cachudito de Juan Fernández ;Aves;EN-RARA;;;;;;;;;
97;Aplochiton marinus;Peladilla;Actinopterygii;EN;;;;;;;;;
98;Aplochiton zebra;Peladilla;Actinopterygii;EN;;;;;;;;;
99;Apterodorcus tristis;Mancapollo, pica pollo, borracho, borrachito, buey;Insecta;EN;;;;;;;;;
100;Ardenna creatopus;Fardela blanca;Aves;EN;;;;;;;;;
101;Bolborhinum trilobulicorne;Escarabajo;Insecta;EN;;;;;;;;;
102;Brachistosternus cepedai;Escorpión de Cepeda;Arachnida;EN;;;;;;;;;
103;Bullockia maldonadoi;Bagrecito;Actinopterygii;EN;;;;;;;;;
104;Callyntra cantillana;Cascarudo de Cantillana;Insecta;EN;;;;;;;;;
105;Callyntra multicosta;Cascarudo de Las Docas;Insecta;EN;;;;;;;;;
106;Callyntra penai;Cascarudo de Peña;Insecta;EN;;;;;;;;;
107;Callyntra planiuscula;Cascarudo de la Plata;Insecta;EN;;;;;;;;;
108;Charopa involuta;Caracol terrestre Charopa;Gastropoda;EN;;;;;;;;;
109;Charopa masafuerae;Caracol terrestre Charopa;Gastropoda;EN;;;;;;;;;
110;Cheirodon kiliani;Pocha;Actinopterygii;EN-RARA;;;;;;;;;
