REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Metropolitana (RM);Sapo;Alsodes tumultuosus;Animalia;Amphibia;Sí;EN-RARA
Metropolitana (RM);Mancapollo, pica pollo, borracho, borrachito, buey;Apterodorcus tristis;Animalia;Insecta;Sí;EN
Metropolitana (RM);Cascarudo de Cantillana;Callyntra cantillana;Animalia;Insecta;Sí;EN
Metropolitana (RM);Cascarudo de Peña;Callyntra penai;Animalia;Insecta;Sí;EN
Metropolitana (RM);;Cnemalobus hirsutus;Animalia;Insecta;Sí;EN
Metropolitana (RM);Tollo de agua dulce;Diplomystes chilensis;Animalia;Actinopterygii;Sí;EN-RARA
Metropolitana (RM);Tarántula afín de Santiago;Euathlus affinis;Animalia;Arachnida;Sí;EN
Metropolitana (RM);Lagartija del Cerro Cantillana, lagarto de Frassinetti;Liolaemus frassinettii;Animalia;Reptilia;Sí;EN
Metropolitana (RM);Lagarto leopardo;Liolaemus leopardinus;Animalia;Reptilia;Sí;EN
Metropolitana (RM);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Metropolitana (RM);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Metropolitana (RM);;Oogenius penai;Animalia;Insecta;Sí;EN
Metropolitana (RM);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Metropolitana (RM);;Phyllopetalia altarensis;Animalia;Insecta;Sí;EN
Metropolitana (RM);Matuasto de Darwin, lagarto de cola gruesa;Phymaturus darwini;Animalia;Reptilia;Sí;EN
Metropolitana (RM);Gruñidor de Valeria;Pristidactylus valeriae;Animalia;Reptilia;Sí;EN
Metropolitana (RM);Gruñidor de El Volcán;Pristidactylus volcanensis;Animalia;Reptilia;Sí;EN
O'Higgins (VI);Cascarudo híbrido o cascarudo del Poqui;Callyntra hibrida;Animalia;Insecta;Sí;CR
O'Higgins (VI);Lagartija de Lolol;Liolaemus confusus;Animalia;Reptilia;Sí;CR
O'Higgins (VI);Lagarto negro;Liolaemus curis;Animalia;Reptilia;Sí;CR
O'Higgins (VI);Lagarto leopardo de Norma, lagarto de los cristales;Liolaemus normae;Animalia;Reptilia;Sí;CR
O'Higgins (VI);Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;CR
O'Higgins (VI);Borrachito;Sclerostomulus nitidus;Animalia;Insecta;Sí;CR
O'Higgins (VI);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
O'Higgins (VI);Sapo de monte;Alsodes montanus;Animalia;Amphibia;Sí;EN-RARA
O'Higgins (VI);Sapo;Alsodes tumultuosus;Animalia;Amphibia;Sí;EN-RARA
O'Higgins (VI);Mancapollo, pica pollo, borracho, borrachito, buey;Apterodorcus tristis;Animalia;Insecta;Sí;EN
O'Higgins (VI);Cascarudo de Cantillana;Callyntra cantillana;Animalia;Insecta;Sí;EN
O'Higgins (VI);Tollo de agua dulce;Diplomystes chilensis;Animalia;Actinopterygii;Sí;EN-RARA
O'Higgins (VI);Tarántula enana de penacho amarillo, araña pollito;Homoeomma orellanai;Animalia;Arachnida;Sí;EN
O'Higgins (VI);Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;EN
O'Higgins (VI);Lagartija del Azufre;Liolaemus thermarum;Animalia;Reptilia;Sí;EN
O'Higgins (VI);Lagarto leopardo de Ubaghs, Ubaghs’ Leopard Lizard (Inglés);Liolaemus ubaghsi;Animalia;Reptilia;Sí;EN
O'Higgins (VI);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
O'Higgins (VI);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
O'Higgins (VI);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Maule (VII);Lagarto negro;Liolaemus curis;Animalia;Reptilia;Sí;CR
Maule (VII);;Nigroperla costalis;Animalia;Insecta;Sí;CR
Maule (VII);Ranita ;Rhinoderma rufum;Animalia;Amphibia;Sí;CR
Maule (VII);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Maule (VII);Sapo de Vanzolini;Alsodes vanzolinii;Animalia;Amphibia;Sí;EN-RARA
Maule (VII);Escarabajo;Bolborhinum trilobulicorne;Animalia;Insecta;Sí;EN
Maule (VII);Cascarudo de la Plata;Callyntra planiuscula;Animalia;Insecta;Sí;EN
Maule (VII);Ranita de Los Queules;Eupsophus septentrionalis;Animalia;Amphibia;Sí;EN
Maule (VII);Tarántula enana de penacho amarillo, araña pollito;Homoeomma orellanai;Animalia;Arachnida;Sí;EN
Maule (VII);Lagartija de Garín;Liolaemus carlosgarini;Animalia;Reptilia;Sí;EN
Maule (VII);Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;EN
Maule (VII);Lagartija del Azufre;Liolaemus thermarum;Animalia;Reptilia;Sí;EN
Maule (VII);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Maule (VII);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Maule (VII);"No tiene, se propone ""pulgón del Ruíl""";Neuquenaphis staryi;Animalia;Insecta;Sí;EN
Maule (VII);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Maule (VII);Matuasto;Phymaturus maulense;Animalia;Reptilia;Sí;EN
Maule (VII);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
Maule (VII);Rana montana de Los Queules;Telmatobufo ignotus;Animalia;Amphibia;Sí;EN
