REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Bío-Bío (VIII);Pancora;Aegla bahamondei;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla concepcionensis;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla expansa;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Pancora;Aegla occidentalis;Animalia;Malacostraca;Sí;EN
Bío-Bío (VIII);Sapo de Barros;Alsodes barrioi;Animalia;Amphibia;Sí;EN-RARA
Bío-Bío (VIII);Típula pintada;Alyma quiriquinaensis;Animalia;Insecta;Sí;EN
Bío-Bío (VIII);Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;EN
Bío-Bío (VIII);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Bagrecito;Bullockia maldonadoi;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Pocha;Cheirodon kiliani;Animalia;Actinopterygii;Sí;EN-RARA
Bío-Bío (VIII);Chanchito blanco de la araucaria;Chileputo chilensis;Animalia;Insecta;Sí;EN 
Bío-Bío (VIII);Tollo ;Diplomystes nahuelbutaensis;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Borrachito de Tolhuaca, borrachito listado de Tolhuaca;Erichius virgatus;Animalia;Insecta;Sí;EN
Bío-Bío (VIII);Sapo de Contulmo;Eupsophus contulmoensis;Animalia;Amphibia;Sí;EN
Bío-Bío (VIII);Sapo de Isla Mocha;Eupsophus insularis;Animalia;Amphibia;Sí;EN-RARA
Bío-Bío (VIII);Sapo de Nahuelbuta;Eupsophus nahuelbutensis;Animalia;Amphibia;Sí;EN-RARA
Bío-Bío (VIII);Lagarto del escorial, Slag Lizard (Inglés);Liolaemus scorialis;Animalia;Reptilia;Sí;EN
Bío-Bío (VIII);Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;EN
Bío-Bío (VIII);Zorro de Chiloé;Lycalopex fulvipes;Animalia;Mammalia;Sí;EN
Bío-Bío (VIII);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Bío-Bío (VIII);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Carmelita de Concepción;Percilia irwini;Animalia;Actinopterygii;Sí;EN
Bío-Bío (VIII);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
Bío-Bío (VIII);Sapo hermoso;Telmatobufo venustus;Animalia;Amphibia;Sí;EN
