Especie ID;Etiqueta;Nombre científico ;Nombre común;Clase;RCE;Titular;Fuente;Link;Usa N. Científico;Usa N. Común;Es protagonsita;Tiene foto;Endémica
26;26 - Geranoaetus polyosoma exsul;Geranoaetus polyosoma exsul;aguilucho de Más Afuera, aguilucho de Juan Fernández, blindado;Aves;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
27;27 - Heleobia atacamensis;Heleobia atacamensis;caracol;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
28;28 - Heleobia transitoria;Heleobia transitoria;caracol;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
29;29 - Liolaemus confusus;Liolaemus confusus;lagartija de Lolol;Reptilia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
30;30 - Liolaemus curis;Liolaemus curis;lagarto negro;Reptilia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
31;31 - Liolaemus hermannunezi;Liolaemus hermannunezi;lagartija de Herman Núñez;Reptilia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
32;32 - Liolaemus melaniceps;Liolaemus melaniceps;lagartija;Reptilia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
33;33 - Liolaemus normae;Liolaemus normae;lagarto leopardo de Norma, lagarto de los cristales;Reptilia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
34;34 - Nigroperla costalis;Nigroperla costalis;;Insecta;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
35;35 - Nycterinus penai;Nycterinus penai;tenebrio de Peña, teatino de Peña;Insecta;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
36;36 - Omalonyx gayana;Omalonyx gayana;caracol terrestre Omalonyx;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
37;37 - Orestias gloriae;Orestias gloriae;pez (genérico);Actinopterygii;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
38;38 - Orestias piacotensis;Orestias piacotensis;karachi;Actinopterygii;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
39;39 - Palmaspis jubae;Palmaspis jubae;Escama  gigante de palma chilena;Insecta;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
40;40 - Paraholopterus nahuelbutensis;Paraholopterus nahuelbutensis;;Insecta;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
41;41 - Phymaturus alicahuense;Phymaturus alicahuense;matuasto de Alicahue;Reptilia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
42;42 - Phymaturus vociferator;Phymaturus vociferator;matuasto del Laja, matuasto vociferador;Reptilia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
43;43 - Pichikadi hualpensis;Pichikadi hualpensis;caracol costilludo de Hualpén;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
44;44 - Praocis medvedevi;Praocis medvedevi;;Insecta;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Pingüino de Humboldt y especies únicas de Chile en peligro: más del 70% está en riesgo de extinción;Meteored Chile;https://www.meteored.cl/noticias/ciencia/pinguino-de-humboldt-y-especies-unicas-de-chile-en-peligro-mas-del-70-esta-en-riesgo-de-extincion.html;1;1;1;0;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Chile declara oficialmente en peligro de extinción a Pingüino de Humboldt;El Periodista;https://www.elperiodista.cl/2025/10/pinguino-de-humboldt-es-declarado-oficialmente-en-peligro-de-extincion/;1;1;1;;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;El pingüino de Humboldt pasa a estar en peligro de extinción y enciende las alarmas por la biodiversidad en Chile;Futuro 360 | CNN Chile;https://futuro360.cnnchile.com/el-pinguino-de-humboldt-pasa-a-estar-en-peligro-de-extincion-y-enciende-las-alarmas-por-la-biodiversidad-en-chile;0;1;0;0;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Pingüino de Humboldt y especies endémicas en Chile aumentan riesgo de extinción;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2025/10/20/pinguino-de-humboldt-y-especies-endemicas-en-chile-aumentan-riesgo-de-extincion/;0;1;0;1;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Equipo UM logró que el “Lagarto gruñidor de Álvaro” sea considerado “en peligro crítico de extinción”;Diario Mayor;https://www.diariomayor.cl/creando-universidad/academicos/equipo-um-logro-que-el-lagarto-grunidor-de-alvaro-sea-considerado-en-peligro-critico-de-extincion;1;1;1;1;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Especies en riesgo: pingüino de Humboldt, lagarto de Álvaro y plantas de Juan Fernández en alerta;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2025/10/28/especies-en-riesgo-pinguino-de-humboldt-lagarto-de-alvaro-y-plantas-de-juan-fernandez-en-alerta/;1;1;1;0;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Pingüino de Humboldt y lagarto gruñidor en peligro;Diario Sustentable;https://www.diariosustentable.com/2025/10/pinguino-de-humboldt-lagarto-grunidor-y-plantas-endemicas-de-juan-fernandez-aumentan-su-riesgo-de-extincion-en-chile/;1;1;1;1;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Ministra Rojas expone dramático estado del pingüino de Humboldt, lagarto gruñidor y otras 70 especies;El Desconcierto;https://eldesconcierto.cl/2025/10/18/ministra-rojas-expone-dramatico-estado-del-pinguino-de-humboldt-lagarto-grunidor-y-otras-70-especies;0;1;1;0;Sí
45;45 - Pristidactylus alvaroi;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Declaran al Lagarto gruñidor de Álvaro, especie endémica chilena, en «Peligro Crítico de Extinción;Fundación Terram;https://www.terram.cl/declaran-al-lagarto-grunidor-de-alvaro-especie-endemica-chilena-en-peligro-critico-de-extincion/;1;1;1;1;Sí
46;46 - Pseudorestias lirimensis;Pseudorestias lirimensis;pez (genérico);Actinopterygii;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
47;47 - Punctum conicum;Punctum conicum;caracol terrestre Punctum;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
48;48 - Punctum depressum;Punctum depressum;caracol terrestre Punctum;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Gobierno retira más de 40 decretos ambientales: Entre ellos la protección a Ranita de Darwin y Pingüino de Humboldt;Meganoticias;https://www.meganoticias.cl/nacional/517253-gobierno-retira-mas-de-40-decretos-ambientales-proteccion-ranita-de-darwin-pinguino-de-humboldt-17-3-2026.html;1;1;1;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;La ranita descubierta por Charles Darwin en Chile busca salvarse de la extinción;EL PAÍS;https://elpais.com/chile/2026-02-23/la-ranita-descubierta-por-charles-darwin-en-chile-busca-salvarse-de-la-extincion.html;1;1;0;1;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Hongo letal amenaza la supervivencia de la ranita de Darwin;Noticias UNAB;https://noticias.unab.cl/investigacion-con-sello-unab-revela-como-un-hongo-letal-amenaza-la-supervivencia-de-la-ranita-de-darwin/;0;1;0;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Dilucidan cómo una enfermedad está extinguiendo a la ranita de Darwin: ya mató a su especie hermana;BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/08/dilucidan-como-una-enfermedad-esta-extinguiendo-a-la-ranita-de-darwin-ya-mato-a-su-especie-hermana.shtml;0;1;0;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Científico chileno lidera estudio clave sobre la extinción de la ranita de Darwin;24horas;https://www.24horas.cl/conciencia-24-7/ciencia/cientifico-chileno-estudio-extincion-ranita-darwin;0;1;0;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Alianza internacional en Huilo Huilo busca proteger a la Ranita de Darwin de hongo letal;Cooperativa.cl;https://www.cooperativa.cl/noticias/sociedad/fauna/alianza-internacional-en-huilo-huilo-busca-proteger-a-la-ranita-de/2026-02-06/124716.html;0;1;0;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Guardabosques chilenos y Zoólogico de Londres buscan salvar a la ranita de Darwin de la extinción;ADN Radio;https://www.adnradio.cl/2026/02/23/guardabosques-chilenos-y-zoologico-de-londres-buscan-salvar-a-la-ranita-de-darwin-de-la-extincion/;1;1;0;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Científico chileno lidera estudio que revela cómo un hongo letal está extinguiendo a la ranita de Darwin;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2026/01/02/cientifico-chileno-lidera-estudio-que-revela-como-un-hongo-letal-esta-extinguiendo-a-la-ranita-de-darwin/;0;1;0;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Investigación chilena descubre cómo un hongo invasivo provoca epidemias letales en anfibios terrestres;BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/26/investigacion-chilena-descubre-como-un-hongo-invasivo-provoca-epidemias-letales-en-anfibios-terrestres.shtml;0;1;0;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Retiran decreto que protegía al pingüino de Humboldt;El Ovallino;https://www.elovallino.cl/retiran-decreto-que-protegia-al-pinguino-de-humboldt/;1;1;1;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Contra ranita de Darwin, pingüino de Humboldt y áreas protegidas: Kast defiende retiro de 43 decretos medioambientales;Interferencia |;https://interferencia.cl/articulos/contra-ranita-de-darwin-pinguino-de-humboldt-y-areas-protegidas-kast-defiende-retiro-de-43;0;1;1;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Contraloría aprueba plan para proteger a las Ranitas de Darwin tras revisión del Gobierno;Radio Paulina;https://radiopaulina.cl/2026/03/20/contraloria-aprueba-plan-para-proteger-a-las-ranitas-de-darwin-tras-revision-del-gobierno/;1;1;1;0;Sí
49;49 - Rhinoderma rufum;Rhinoderma rufum;ranita ;Amphibia;CR;Revelan cómo el hongo quítrido se propaga y empuja a la ranita de Darwin a la extinción en Chile;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2026/01/09/revelan-como-el-hongo-quitrido-se-propaga-y-empuja-a-la-ranita-de-darwin-a-la-extincion-en-chile/;0;1;0;0;Sí
50;50 - Sclerostomulus nitidus;Sclerostomulus nitidus;borrachito;Insecta;CR;1000 genomas: el proyecto que busca construir el inventario más completo de la biodiversidad de Chile;Pontificia Universidad Católica de Chile;https://biologia.uc.cl/1000-genomas-el-proyecto-que-busca-construir-el-inventario-mas-completo-de-la-biodiversidad-de-chile/;1;1;0;0;Sí
51;51 - Sephanoides fernandensis;Sephanoides fernandensis;picaflor de Juan Fernández;Aves;CR;Chile levanta el mayor registro genético de su biodiversidad;EL PAÍS;https://elpais.com/chile/2025-10-20/chile-levanta-el-mayor-registro-genetico-de-su-biodiversidad.html;0;1;0;1;Sí
52;52 - Sterphus aurifrons;Sterphus aurifrons;mosco de Juan Fernández, mosco de rostro dorado;Insecta;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
53;53 - Succinea cryptica;Succinea cryptica;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
54;54 - Succinea cumingi;Succinea cumingi;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
55;55 - Succinea fernandi;Succinea fernandi;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
56;56 - Succinea masafuerae;Succinea masafuerae;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
57;57 - Succinea rubicunda;Succinea rubicunda;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
58;58 - Succinea semiglobosa;Succinea semiglobosa;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
59;59 - Succinea texta;Succinea texta;caracol terrestre Succinea;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
60;60 - Swiftia comauensis;Swiftia comauensis;gorgona amarilla-roja;Anthozoa;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
61;61 - Telmatobius chusmisensis;Telmatobius chusmisensis;sapo;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
62;62 - Telmatobius dankoi;Telmatobius dankoi;sapo de Danko;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
63;63 - Telmatobius fronteriensis;Telmatobius fronteriensis;sapo ;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
64;64 - Telmatobius halli;Telmatobius halli;sapo ;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
65;65 - Telmatobius vilamensis;Telmatobius vilamensis;rana de Vilama;Amphibia;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
66;66 - Tornatellina aperta;Tornatellina aperta;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
67;67 - Tornatellina bilamellata;Tornatellina bilamellata;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
68;68 - Tornatellina callosa;Tornatellina callosa;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
69;69 - Tornatellina plicosa;Tornatellina plicosa;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
70;70 - Tornatellina reclusiana;Tornatellina reclusiana;caracol terrestre Tornatellina;Gastropoda;CR;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
71;71 - Acalodegma vidali;Acalodegma vidali;;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
72;72 - Aegla bahamondei;Aegla bahamondei;Pancora;Malacostraca;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
73;73 - Aegla concepcionensis;Aegla concepcionensis;Pancora;Malacostraca;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
74;74 - Aegla expansa;Aegla expansa;Pancora;Malacostraca;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
75;75 - Aegla laevis;Aegla laevis;Pancora;Malacostraca;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
76;76 - Aegla occidentalis;Aegla occidentalis;Pancora;Malacostraca;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
77;77 - Aegla papudo;Aegla papudo;Pancora;Malacostraca;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
78;78 - Allograpta robinsoniana;Allograpta robinsoniana;Mosca florícola de Juan Fernández;Insecta;EN;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
79;79 - Alsodes barrioi;Alsodes barrioi;Sapo de Barros;Amphibia;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
80;80 - Alsodes cantillanensis;Alsodes cantillanensis;Sapo;Amphibia;EN;Cerrado por prevención de incendios: La vuelta de la fauna de dos áreas protegidas tras prohibir el ingreso de público en verano;Ladera Sur;https://laderasur.com/articulo/cerrado-por-prevencion-de-incendios-la-vuelta-de-la-fauna-de-dos-areas-protegidas-tras-prohibir-el-ingreso-de-publico-en-verano/;1;1;0;1;Sí
80;80 - Alsodes cantillanensis;Alsodes cantillanensis;Sapo;Amphibia;EN;Diez de diez: Las 10 especies chilenas más emblemáticas descubiertas en los últimos 10 años;Ladera Sur;https://laderasur.com/articulo/diez-de-diez-las-10-especies-chilenas-mas-emblematicas-descubiertas-en-los-ultimos-10-anos/;1;1;0;1;Sí
81;81 - Alsodes montanus;Alsodes montanus;Sapo de monte;Amphibia;EN-RARA;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sí
