position,title,source/name,source/icon,source/authors/0,link,thumbnail,thumbnail_small,date,iso_date
21,Descubren nueva población de ranita de Darwin,conaf.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.conaf.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.conaf.cl/descubren-nueva-poblacion-de-ranita-de-darwin/,https://www.conaf.cl/wp-content/uploads/2025/03/03-03-2025.jpg,https://news.google.com/api/attachments/CC8iK0NnNXRUSGR4U21KaWJ6Tm9TR0paVFJDZkF4ampCU2dLTWdZQkFJYW5oQU0,"03/03/2025, 08:00 AM, +0000 UTC",2025-03-03T08:00:00Z
22,"Ranita de Darwin en podcast ""Voces del Bosque"": Vivir y croar en la selva valdiviana",Sabes.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://sabes.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://sabes.cl/2025/06/19/ranita-de-darwin-en-podcast-voces-del-bosque-vivir-y-croar-en-la-selva-valdiviana/,https://i.ytimg.com/vi/rT4w5DYFSCM/mqdefault.jpg,https://news.google.com/api/attachments/CC8iK0NnNVdjRzh0Um1wTmFtcEJOMWR2VFJDMEFSakFBaWdLTWdZQllKQ0dMQWc,"06/19/2025, 07:00 AM, +0000 UTC",2025-06-19T07:00:00Z
23,Estación de reproducción de la ranita de Darwin UdeC habilitará módulo para tratar ejemplares de Chiloé afectados con hongo mortal,Noticias UdeC,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://noticias.udec.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://noticias.udec.cl/estacion-de-reproduccion-de-la-ranita-de-darwin-udec-habilitara-modulo-para-tratar-ejemplares-de-chiloe-afectados-con-hongo-mortal/,https://noticias.udec.cl/wp-content/uploads/2020/06/ranita-de-darwin-2.jpeg,https://news.google.com/api/attachments/CC8iK0NnNURWa05sWVdWbWNHdElXR2h3VFJEREF4aW5CU2dLTWdZWmNJcnJzUVU,"12/04/2024, 08:00 AM, +0000 UTC",2024-12-04T08:00:00Z
24,Del bosque al laboratorio: cómo la ciencia está salvando a la ranita de Darwin,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://laderasur.com/articulo/del-bosque-al-laboratorio-como-la-ciencia-esta-salvando-a-la-ranita-de-darwin/,https://laderasur.com/wp-content/uploads/2025/02/camila-moran.jpg,https://news.google.com/api/attachments/CC8iNkNnNVliRWRoVXpWU2RGUXRaMlZ1VFJEdkF4anJCQ2dLTWc0QkFJaEpGT1dKRmpuTDJKNGJGUQ,"02/26/2025, 08:00 AM, +0000 UTC",2025-02-26T08:00:00Z
25,Por qué está desapareciendola Ranita de Darwin,Fundación Terram,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.terram.cl/por-que-esta-desapareciendola-ranita-de-darwin/,https://www.terram.cl/wp-content/uploads/2024/12/7IWKXODCYJC7DO5R7ZA7A4IIEI-1170x630.jpg,https://news.google.com/api/attachments/CC8iK0NnNWxRbWhhZVVJdFNrTnlRVEUyVFJDV0F4anpCU2dLTWdZVmRJS3RyUVE,"12/09/2024, 08:00 AM, +0000 UTC",2024-12-09T08:00:00Z
26,Pandemia de los anfibios devasta las poblaciones más grandes de ranita de Darwin,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://laderasur.com/articulo/pandemia-de-los-anfibios-devasta-las-poblaciones-mas-grandes-de-ranita-de-darwin/,https://laderasur.com/wp-content/uploads/2024/12/11.-fotografia-de-ranita-de-darwin-sana-y-salva-en-londres.jpg,https://news.google.com/api/attachments/CC8iK0NnNXpZbTlOT0dJMlpVNU5XVEpGVFJDX0F4aXVCU2dLTWdZQmM0YktzUVk,"12/11/2024, 06:34 PM, +0000 UTC",2024-12-11T18:34:13Z
27,Del bosque al laboratorio: cómo la ciencia está salvando a la Ranita de Darwin,TVU | Televisión Universidad de Concepción,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.tvu.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.tvu.cl/prensa/2025/01/09/del-bosque-al-laboratorio-como-la-ciencia-esta-salvando-a-la-ranita-de-darwin.html,https://assets.tvu.cl/2025/01/Estrategia-Binacional-de-Conservacio%CC%81n-ranitas-de-Darwin-850x400.jpg,https://news.google.com/api/attachments/CC8iJ0NnNUNlRlZuY0U4ME1GOVFRVEJrVFJDYUFSakhBaWdCTWdNQjBBWQ,"01/09/2025, 08:00 AM, +0000 UTC",2025-01-09T08:00:00Z
28,El desafío de rescatar a la ranita de Darwin del hongo que está acabando con los anfibios del mundo,Meteored Chile,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.meteored.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Cristina Espinoza,https://www.meteored.cl/noticias/ciencia/el-desafio-de-rescatar-a-la-ranita-de-darwin-del-hongo-que-esta-acabando-con-los-anfibios-del-mundo.html,https://services.meteored.com/img/article/el-desafio-de-rescatar-a-la-ranita-de-darwin-del-hongo-que-esta-acabando-con-los-anfibios-del-mundo-1734048606785_512.png,https://news.google.com/api/attachments/CC8iK0NnNVFVRVpST0UxQ2FWRjRiblZsVFJEb0FoaUFCQ2dLTWdZQmM0YkpzUVk,"12/16/2024, 08:00 AM, +0000 UTC",2024-12-16T08:00:00Z
29,Así funciona el Centro de Reproducción que intenta salvar a la ranita de Darwin de la extinción,TVU | Televisión Universidad de Concepción,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.tvu.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.tvu.cl/prensa/2024/03/25/asi-funciona-el-centro-de-reproduccion-que-intenta-salvar-a-la-ranita-de-darwin-de-la-extincion.html,https://assets.tvu.cl/2024/03/IMG_2547-1-e1711400679741-850x400.jpg,https://news.google.com/api/attachments/CC8iK0NnNVpNbUZ1ZVVvM1JETXRaVVZwVFJEOEFoaW5CaWdLTWdZQlVJYXBNUVk,"03/25/2024, 07:00 AM, +0000 UTC",2024-03-25T07:00:00Z
30,"Ranita de Darwin, conservando al enigma del bosque austral",Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://laderasur.com/video/ranita-de-darwin-conservando-al-enigma-del-bosque-austral/,https://i.ytimg.com/vi/NIsVNjX6w8c/maxresdefault.jpg,https://news.google.com/api/attachments/CC8iK0NnNTVWbUYyVkVsalRHSlBjVTB0VFJDZkF4ampCU2dLTWdZQkFvaUtIUVU,"06/05/2020, 07:33 AM, +0000 UTC",2020-06-05T07:33:29Z
