Source.Name;title;source/name;link;iso_date.1;source/authors/0;Revisada;;
convertcsv (29).csv;Retiran decreto que buscaba declarar Monumento Natural al pingüino de Humboldt;El Mostrador;https://www.elmostrador.cl/agenda-pais/2026/03/17/retiran-decreto-que-buscaba-declarar-monumento-natural-al-pinguino-de-humboldt/;17-03-2026;;*;;
convertcsv (29).csv;Tras retiro de decretos: ¿cuál es la importancia del Pingüino de Humboldt en el equilibrio del océano?;BioBioChile;https://www.biobiochile.cl/noticias/bbcl-explica/bbcl-explica-notas/2026/03/18/tras-retiro-de-decretos-cual-es-la-importancia-del-pinguino-de-humboldt-en-el-equilibrio-del-oceano.shtml;18-03-2026;Bárbara Haas;*;;
convertcsv (29).csv;El Pingüino de Humboldt: Más que un símbolo, una urgencia de conservación. Por Carlos Flores Olivares. Docente Investigador de Medicina Veterinaria, Universidad del Alba;G5noticias;https://g5noticias.cl/2026/03/09/el-pinguino-de-humboldt-mas-que-un-simbolo-una-urgencia-de-conservacion-por-carlos-flores-olivares-docente-investigador-de-medicina-veterinaria-universidad-del-alba/;09-03-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt y especies endémicas en Chile aumentan riesgo de extinción;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2025/10/20/pinguino-de-humboldt-y-especies-endemicas-en-chile-aumentan-riesgo-de-extincion/;20-10-2025;;*;;
convertcsv (29).csv;Estas son las mejores partes de Chile donde se puede ver al pingüino de Humboldt;elnortero.cl;https://www.elnortero.cl/noticia/sociedad/estas-son-las-mejores-partes-de-chile-donde-se-puede-ver-al-pingueino-de-humboldt;25-03-2026;;*;;
convertcsv (29).csv;Retiran decreto que protegía al pingüino de Humboldt;El Ovallino;https://www.elovallino.cl/retiran-decreto-que-protegia-al-pinguino-de-humboldt/;19-03-2026;;*;;
convertcsv (29).csv;Chile abre consulta ciudadana para declarar al pingüino de Humboldt Monumento Natural;Meteored Chile;https://www.meteored.cl/noticias/actualidad/chile-abre-consulta-ciudadana-para-declarar-al-pinguino-de-humboldt-monumento-natural.html;16-01-2026;;*;;
convertcsv (29).csv;Últimos días para salvar al pingüino de Humboldt en Chile;thetimes.lat;https://thetimes.cl/contenido/9843/ultimos-dias-para-salvar-al-pinguino-de-humboldt-en-chile;29-01-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt albino es visto frente a la costa de Hualpén;soychile.cl;https://www.soychile.cl/santiago/tendencias/2026/01/21/937305/pinguino-humboldt-albino-costa-hualpen.html;21-01-2026;;*;;
convertcsv (29).csv;"Greenpeace exige medidas urgentes para salvar al pingüino de Humboldt: ""No podemos seguir destruyendo""";BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2025/10/28/greenpeace-exige-medidas-urgentes-para-salvar-al-pinguino-de-humboldt-no-podemos-seguir-destruyendo.shtml;28-10-2025;;*;;
convertcsv (29).csv;El pingüino de Humboldt pasa a estar en peligro de extinción y enciende las alarmas por la biodiversidad en Chile;Futuro 360 | CNN Chile;https://futuro360.cnnchile.com/el-pinguino-de-humboldt-pasa-a-estar-en-peligro-de-extincion-y-enciende-las-alarmas-por-la-biodiversidad-en-chile;22-10-2025;;*;;
convertcsv (29).csv;¿Por qué fue declarado el pingüino de Humboldt en peligro de extinción? Alertan sobre crítica situación en Chile y los riesgos de Dominga;elciudadano.com;https://www.elciudadano.com/actualidad/por-que-fue-declarado-el-pinguino-de-humboldt-en-peligro-de-extincion-alertan-sobre-critica-situacion-en-chile-y-los-peligros-de-dominga/11/01/;01-11-2025;Alfredo M. Seguel;*;;
convertcsv (29).csv;¿Sin protección?: Ranita de Darwin y Pingüino de Humboldt, las dos especies icónicas de Chile en medio del debate ambiental;Publimetro;https://www.publimetro.cl/noticias/2026/03/17/sin-proteccion-ranita-de-darwin-y-pinguino-de-humboldt-las-dos-especies-iconicas-de-chile-en-medio-del-debate-ambiental/;17-03-2026;;*;;
convertcsv (29).csv;La Serena será sede del Seminario Pingüino de Humboldt en peligro de extinción;El Serenense;https://www.elserenense.cl/comunales/2025/11/11/la-serena-sera-sede-del-seminario-pinguino-de-humboldt-en-peligro-de-extincion/;11-11-2025;;*;;
convertcsv (29).csv;¿Pingüino de Humboldt albino en Biobío?: hallazgo inédito abre retos científicos y de conservación;Diario Concepción;https://www.diarioconcepcion.cl/ciencia-y-sociedad/2026/01/30/pinguino-de-humboldt-albino-en-biobio-hallazgo-inedito-abre-retos-cientificos-y-de-conservacion.html;30-01-2026;;*;;
convertcsv (29).csv;Registran por primera vez en Chile un ejemplar de pingüino de Humboldt albino;Diario Usach;https://www.diariousach.cl/registran-por-primera-vez-en-chile-un-ejemplar-de-pinguino-de-humboldt;20-01-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt en peligro de extinción: la contaminación y el cambio climático lo acorralan;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-social/2025/11/11/pinguino-de-humboldt-en-peligro-de-extincion-la-contaminacion-y-el-cambio-climatico-lo-acorralan/;11-11-2025;;*;;
convertcsv (29).csv;Chile declara oficialmente en peligro de extinción a Pingüino de Humboldt;El Periodista;https://www.elperiodista.cl/2025/10/pinguino-de-humboldt-es-declarado-oficialmente-en-peligro-de-extincion/;23-10-2025;;*;;
convertcsv (29).csv;Pingüino de Humboldt en peligro: cambio climático y acción humana amenazan su supervivencia en Chile y Perú;CNN Chile;https://www.cnnchile.com/pais/pinguino-de-humboldt-en-peligro-cambio-climatico-y-accion-humana-amenazan-su-supervivencia-en-chile-y-peru_20251017/;17-10-2025;;*;;
