Source.Name;title;source/name;link;iso_date.1;source/authors/0
convertcsv (30).csv;Registran a puma en un complejo habitado de Puerto Varas: Así fue el impresionante avistamiento en Los Lagos;megatiempo.cl;https://www.megatiempo.cl/noticias/7086-puma-puerto-varas-los-lagos-1ab.html;21-07-2025;
convertcsv (30).csv;Avistan puma en el Salto del Itata de la comuna de Yungay;La Discusión;https://ladiscusion.cl/avistan-puma-en-el-salto-del-itata-de-la-comuna-de-yungay/;25-11-2024;
convertcsv (30).csv;SAG instaló cámaras trampa en sector de avistamiento de puma;Diario Concepción;https://www.diarioconcepcion.cl/ciudad/2023/12/04/sag-instalo-camaras-trampa-en-sector-de-avistamiento-de-puma.html;04-12-2023;
convertcsv (30).csv;"Auditor detalla avistamiento de puma en calle de Pirque: ""Es un ejemplar grandísimo""";BioBioChile;https://www.biobiochile.cl/biobiotv/programas/expreso-bio-bio/2025/01/06/auditor-detalla-avistamiento-de-puma-en-calle-de-pirque-es-un-ejemplar-grandisimo.shtml;06-01-2025;
convertcsv (30).csv;Avistamiento de puma genera alarma en Lo Barnechea: Vecinos denuncian que mascotas han sido atacadas de gravedad;CNN Chile;https://www.cnnchile.com/pais/avistamiento-de-puma-genera-alarma-en-lo-barnechea-vecinos-denuncian-que-mascotas-han-sido-atacadas-de-gravedad_20250121/;21-01-2025;
convertcsv (30).csv;Reportan avistamiento de un puma en San Agustín Tlaxiaca, Hidalgo;El Universal;https://www.eluniversal.com.mx/estados/reportan-avistamiento-de-un-puma-en-san-agustin-tlaxiaca-hidalgo/;29-10-2025;
convertcsv (30).csv;Tres animales emblemáticos de la fauna andina estarán presentes en las actividades de las Vacaciones de Invierno;mendoza.gov.ar;https://www.mendoza.gov.ar/prensa/tres-animales-emblematicos-de-la-fauna-andina-estaran-presentes-en-las-actividades-de-las-vacaciones-de-invierno/;26-06-2025;
convertcsv (30).csv;Alarma por avistamiento de puma entre las casas de Chiguayante;Canal 13;https://www.13.cl/programas/servicios-13/actualidad/alarma-por-avistamiento-de-puma-entre-las-casas-de-chiguayante-0;22-11-2023;
convertcsv (30).csv;Melipeuco: Rescatan a puma atrapada en un huache;Mestizos Magazine;https://www.mestizos.cl/actualidad-animal/2025/05/20/melipeuco-rescatan-a-puma-atrapada-en-un-huache.html;20-05-2025;
convertcsv (30).csv;Encuentran puma descuartizado en las Torres del Paine;latribuna.cl;https://www.latribuna.cl/medio-ambiente/2025/04/24/encuentran-puma-descuartizado-en-las-torres-del-paine.html;24-04-2025;
convertcsv (30).csv;Avistamiento de puma en Valle de la Piedra: expertos analizan comportamiento de fauna silvestre;TVU | Televisión Universidad de Concepción;https://www.tvu.cl/prensa/tvu-noticias/2023/12/05/avistamiento-de-puma-en-valle-de-la-piedra-expertos-analizan-comportamiento-de-fauna-silvestre.html;05-12-2023;
convertcsv (30).csv;Alertan por avistamiento de puma en zona urbana de San Agustín Tlaxiaca;La Silla Rota;https://lasillarota.com/hidalgo/local/2025/10/29/alertan-por-avistamiento-de-puma-en-zona-urbana-de-san-agustin-tlaxiaca-565341.html;29-10-2025;
convertcsv (30).csv;Avistamiento de puma concolor en Loreto desata ola de elogios: “Un instante mágico”;Infobae;https://www.infobae.com/peru/2025/03/12/avistamiento-de-puma-concolor-en-loreto-desata-ola-de-elogios-un-instante-magico/;11-03-2025;
convertcsv (30).csv;SAG monitorea avistamiento de puma en el sector de Ilque en Puerto Montt;RadioSago;https://www.radiosago.cl/sag-monitorea-avistamiento-de-puma-en-el-sector-de-ilque-en-puerto-montt/;15-01-2025;
convertcsv (30).csv;"Confirman avistamiento de puma en San Agustín Tlaxiaca; autoridades piden extremar precauciones";La Jornada Hidalgo;https://lajornadahidalgo.com/confirman-avistamiento-de-puma-en-san-agustin-tlaxiaca-autoridades-piden-extremar-precauciones/;29-10-2025;Ricardo Castillo
convertcsv (30).csv;Cámaras trampa en Parque Nacional Puyehue detectan una sorprendente y desconocida fauna;La Tercera;https://www.latercera.com/que-pasa/noticia/camaras-trampa-en-parque-nacional-puyehue-detectan-una-sorprendente-y-desconocida-fauna/V6D6XZSYWRF67KN5PBF5QAKPAQ/;04-04-2023;Carlos Montes Z
convertcsv (30).csv;Sobre el avistamiento de un Puma (Puma concolor) en límites entre Montebello y el Oriente Antioqueño;Cornare;https://www.cornare.gov.co/noticias-corporativas/sobre-el-avistamiento-de-un-puma-puma-concolor-en-limites-entre-montebello-y-el-oriente-antioqueno/;17-04-2025;
convertcsv (30).csv;¿Turismo de pumas?: Los grandes problemas que genera la poca regulación del avistamiento de la fauna en La Patagonia;Publimetro;https://www.publimetro.cl/noticias/2023/09/26/turismo-de-pumas-los-grandes-problemas-que-genera-la-poca-regulacion-del-avistamiento-de-la-fauna-en-la-patagonia/;26-09-2023;Carolina Acevedo
convertcsv (30).csv;La Municipalidad de Pirque informa avistamiento de un puma en el sector El Principal;Portal Puente Alto;https://www.portalpuentealto.cl/la-municipalidad-de-pirque-informa-avistamiento-de-un-puma-en-el-sector-el-principal/;06-01-2025;
convertcsv (30).csv;"Familia graba avistamiento de un puma en Hualqui: SAG recomienda ""no darle la espalda""";24horas;https://www.24horas.cl/regiones/zona-centro/biobio/familia-graba-avistamiento-de-un-puma-en-hualqui-sag;11-08-2023;
convertcsv (30).csv;Puma, huemul, chinchilla y más: Estas son los animales de la fauna chilena que se encuentran en peligro;romantica.cl;https://www.romantica.cl/nacional/2023/01/04/puma-huemul-chinchilla-y-mas-estas-son-los-animales-de-la-fauna-chilena-que-se-encuentran-en-peligro.html;04-01-2023;
convertcsv (30).csv;Cámaras trampa confirman alta presencia de fauna nativa en el Parque Nacional Puyehue;Gobierno de Chile;https://www.gob.cl/noticias/camaras-trampa-confirman-alta-presencia-de-fauna-nativa-en-el-parque-nacional-puyehue/;31-03-2023;
convertcsv (30).csv;En video: tras avistamiento de un puma en zona rural de Antioquia, autoridades emitieron recomendaciones a la población;Infobae;https://www.infobae.com/colombia/2025/04/25/en-video-tras-avistamiento-de-un-puma-en-zona-rural-de-antioquia-autoridades-emitieron-recomendaciones-a-la-poblacion/;25-04-2025;
convertcsv (30).csv;Captan por primera vez a especie de animal silvestre en Piura: hallazgo histórico para la ciencia peruana;Infobae;https://www.infobae.com/peru/2025/07/09/captan-por-primera-vez-a-especie-de-animal-silvestre-en-piura-hallazgo-historico-para-la-ciencia-peruana/;09-07-2025;
convertcsv (30).csv;Reportan avistamiento de un puma en las cercanías de San José de Maipo;Teletrece;https://www.t13.cl/noticia/nacional/reportan-avistamiento-puma-cercanias-san-jose-maipo-01-06-2022;01-06-2022;
convertcsv (30).csv;Avistamiento de pumas en Trapén alerta a vecinos y autoridades de Puerto Montt;Patagonia Radio;https://patagoniaradio.cl/avistamiento-de-pumas-en-trapen-alerta-a-vecinos-y-autoridades-de-puerto;28-09-2024;
convertcsv (30).csv;Lake Dallas: avistamiento de un puma;Telemundo Dallas;https://www.telemundodallas.com/video/noticias/videos-noticias/lake-dallas-avistamiento-de-un-puma/2468049/;08-11-2024;
convertcsv (30).csv;Vecinos de Lo Barnechea registran nuevo avistamiento de puma en zona residencial;El Mostrador;https://www.elmostrador.cl/noticias/multimedia/2020/07/06/vecinos-de-lo-barneche-registran-nuevo-avistamiento-de-puma-en-zona-residencial/;06-07-2020;
convertcsv (30).csv;Advierten a residentes de Rocklin sobre avistamiento de un puma en el área;Telemundo Sacramento;https://www.telemundo33.com/noticias/local/avistamiento-puma-recomendaciones-rocklin/2310538/;17-09-2025;
convertcsv (30).csv;¿Qué hacer y cómo actuar si aparece un puma en la ruta?;El Destape;https://www.eldestapeweb.com/atr/animales/que-hacer-y-como-actuar-si-aparece-un-puma-en-la-ruta--202572917216;29-07-2025;
convertcsv (30).csv;Alerta por avistamiento de puma en localidad de Calama;Teletrece;https://www.t13.cl/noticia/nacional/alerta-ante-presencia-puma-localidad-calama-15-8-2024;15-08-2024;
convertcsv (30).csv;Puma: el animal silvestre terrestre con más amplia distribución en el continente americano;Montevideo Portal;https://www.montevideo.com.uy/Archivo/Puma-el-animal-silvestre-terrestre-con-mas-amplia-distribucion-en-el-continente-americano-uc781749;05-06-2025;Javier A. Pereira
convertcsv (30).csv;Puma andino: amenazas y beneficios del segundo felino más grande de América;Actualidad Ambiental;https://www.actualidadambiental.pe/puma-andino-amenazas-y-beneficios-del-segundo-felino-mas-grande-de-america/;30-08-2023;
convertcsv (30).csv;Puma rescatada en Girardota, Antioquia, no logrará volver a la vida silvestre | El Colombiano;El Colombiano;https://www.elcolombiano.com/antioquia/puma-rescatada-girardota-no-volvera-vida-silvestre-EL29995670;15-10-2025;
convertcsv (30).csv;Avistamiento de puma en Providencia y Ñuñoa alerta a vecinos;Cooperativa.cl;https://www.cooperativa.cl/noticias/pais/medioambiente/animales/avistamiento-de-puma-en-providencia-y-nunoa-alerta-a-vecinos/2020-03-24/054011.html;24-03-2020;
convertcsv (30).csv;🐾 Rescataron un puma cachorro en Zonda: estaba solo, herido y deshidratado;Diario Huarpe;https://www.diariohuarpe.com/nota/ambiente-rescato-un-puma-cachorro-en-una-finca-de-zonda-202510715190;07-10-2025;
convertcsv (30).csv;Nuevo avistamiento de puma en la zona oriente de Santiago;MMA – Ministerio del Medio Ambiente;https://mma.gob.cl/nuevo-avistamiento-de-puma-en-la-zona-oriente-de-santiago/;22-06-2015;
convertcsv (30).csv;No lo lastimen: alertan sobre la presencia de un puma en San Miguel de Allende;La Silla Rota;https://lasillarota.com/guanajuato/estado/2025/7/23/no-lo-lastimen-alertan-sobre-la-presencia-de-un-puma-en-san-miguel-de-allende-546857.html;23-07-2025;
convertcsv (30).csv;Operativo. Un joven tenía un puma cachorro de mascota en Salta: las autoridades lo rescataron;La Voz del Interior;https://www.lavoz.com.ar/sucesos/un-joven-tenia-un-puma-cachorro-de-mascota-en-salta-las-autoridades-lo-rescataron_0_xptHhw3hcL.html;18-08-2025;
convertcsv (30).csv;Rescatan puma encerrado y atado en un centro campestre de Lambayeque;Actualidad Ambiental;https://www.actualidadambiental.pe/rescatan-puma-andino-encerrado-en-centro-campestre-de-lambayeque/;18-12-2024;
convertcsv (30).csv;SAG es alertado por nuevo avistamiento de puma en La Reina;Teletrece;https://www.t13.cl/noticia/nacional/sag-puma-la-reina-25-03-2020;25-03-2020;
convertcsv (31).csv;Nuevo avistamiento: Captan impresionantes imágenes del gato colocolo en Chile;megatiempo.cl;https://www.megatiempo.cl/noticias/11159-gato-colocolo-avistamiento-fotos-habitat-1ab.html;02-04-2026;
convertcsv (31).csv;Sorpresa en Lo Barnechea: registran al elusivo Gato Colocolo en inédito monitoreo;Lo Barnechea;https://lobarnechea.cl/Noticias/sorpresa-en-lo-barnechea-registran-al-elusivo-gato-colocolo-en-inedito-monitoreo/;14-05-2025;
convertcsv (31).csv;VIDEO| Captan a gato colocolo al interior de jardín de una vivienda en sector urbano de Papudo;El Desconcierto;https://eldesconcierto.cl/2025/09/11/video-captan-a-gato-colocolo-al-interior-de-jardin-de-una-vivienda-en-sector-urbano-de-papudo;11-09-2025;Nicole Farias Donoso
convertcsv (31).csv;Inédito avistamiento de gato colocolo en Papudo;Marga Marga TV;https://margamargatv.cl/inedito-avistamiento-de-gato-colocolo-en-papudo/;12-09-2025;
convertcsv (31).csv;Captan a tierno gato Colocolo en el jardín de una casa de Papudo;Cooperativa.cl;https://www.cooperativa.cl/noticias/pais/region-de-valparaiso/captan-a-tierno-gato-colocolo-en-el-jardin-de-una-casa-de-papudo/2025-09-12/115458.html;12-09-2025;
convertcsv (31).csv;Sorpresa en Papudo: gato colocolo descansa en el jardín de una vivienda;diarioeldia.cl;https://www.diarioeldia.cl/noticias/2025/09/14/128511-sorpresa-en-papudo-gato-colocolo-descansa-en-el-jardin-de-una-vivienda;14-09-2025;
convertcsv (31).csv;Nuevos registros del gato colocolo, Leopardus colocolo colocolo (Carnivora: Felidae), en el desierto de Atacama, Región de Antofagasta, Norte Grande de Chile;SciELO Chile;https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382015000200009;26-05-2021;
convertcsv (31).csv;SAG rescató a dos crías de gato Colocolo en Los Andes;Home | SAG;http://www.sag.gob.cl/noticias/sag-rescato-dos-crias-de-gato-colocolo-en-los-andes;30-05-2017;
convertcsv (31).csv;Registran presencia del gato colocolo en la Reserva Natural Altos de Cantillana;El Mostrador;https://www.elmostrador.cl/cultura/2024/09/16/registran-presencia-del-gato-colocolo-en-la-reserva-natural-altos-de-cantillana/;16-09-2024;
convertcsv (31).csv;gato-colocolo;Chile es TUYO;https://chileestuyo.cl/felinos-de-chile-los-reyes-de-la-fauna-terrestre/gato-colocolo/;23-11-2021;
convertcsv (31).csv;Luego de 30 años sin registros, graban inédito video de gato colocolo en Magallanes, cerca de Torres del Paine;Ladera Sur;https://laderasur.com/articulo/luego-de-30-anos-sin-registros-captan-inedito-video-de-gato-colocolo-en-magallanes-cerca-de-torres-del-paine/;12-11-2020;Paula Diaz Levi
convertcsv (31).csv;La historia del frágil “oasis” que oculta al Gato colocolo de industrias, perros e inmobiliarias;La Cuarta;https://www.lacuarta.com/icarito/noticia/la-historia-del-fragil-oasis-que-oculta-al-gato-colocolo-de-industrias-perros-e-inmobiliarias/LFPJG3GPWJCBJN3TI4QEQWJGNY/;15-11-2022;
convertcsv (31).csv;[FOTOS] Captan al esquivo gato colocolo en la Reserva Nacional Lago Peñuelas de Valparaíso;observador.cl;https://www.observador.cl/fotos-captan-al-esquivo-gato-colocolo-en-la-reserva-nacional-lago-penuelas-de-valparaiso/;01-03-2023;
convertcsv (31).csv;Revelan nuevo registro del gato colocolo en la Reserva Nacional Lago Peñuelas de Valparaíso;Teletrece;https://www.t13.cl/noticia/valparaiso/nacional/revelan-nuevo-registro-del-gato-colocolo-reserva-nacional-lago-penuelas-valparaiso;28-02-2023;
convertcsv (31).csv;Sorprendente hallazgo de Gato Colocolo;Home | SAG;http://www.sag.gob.cl/noticias/sorprendente-hallazgo-de-gato-colocolo;27-09-2012;
convertcsv (31).csv;gato colocolo;Chile es TUYO;https://chileestuyo.cl/gatos-de-chile-conoce-cinco-asombrosos-felinos-de-nuestro-pais/gato-colocolo-2/;03-08-2023;
convertcsv (31).csv;[Lo+leído] Gato colocolo: conoce sus características y su importancia en la biodiversidad;El Mostrador;https://www.elmostrador.cl/cultura/2024/09/21/loleido-gato-colocolo-conoce-sus-caracteristicas-y-su-importancia-en-la-biodiversidad/;21-09-2024;
convertcsv (31).csv;[Lo+leído] Registran presencia del gato colocolo en la Reserva Natural Altos de Cantillana;El Mostrador;https://www.elmostrador.cl/cultura/2024/09/21/loleido-registran-presencia-del-gato-colocolo-en-la-reserva-natural-altos-de-cantillana/;21-09-2024;
convertcsv (31).csv;Detectan puma y gato colocolo en la costa de Atacama;Cooperativa Ciencia;https://www.cooperativaciencia.cl/tendencias/2023/07/13/detectan-puma-y-gato-colocolo-en-la-costa-de-atacama/;13-07-2023;
convertcsv (31).csv;El inédito y tierno registro de un Gato colocolo en Puchuncaví;Canal 13;https://www.13.cl/c/programas/espacio-13c/el-inedito-y-tierno-registro-de-un-gato-colocolo-en-puchuncavi;31-07-2023;María Constanza Khamis Giacoman
convertcsv (31).csv;Avistan un gato colocolo en la región de Magallanes después de 30 años;Teletrece;https://www.t13.cl/noticia/nacional/gato-colo-colo-magallanes-13-11-2020;13-11-2020;
