Especie ID;Nombre científico ;Nombre común;Clase;RCE;ID Noticia;URL;Fuente;Usa N. Científico;Usa N. Común;Alcance;Es protagonsita;Tiene foto;Tono predominante
37;Orestias gloriae;pez (genérico);Actinopterygii;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
38;Orestias piacotensis;karachi;Actinopterygii;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
39;Palmaspis jubae;Escama  gigante de palma chilena;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
40;Paraholopterus nahuelbutensis;;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
41;Phymaturus alicahuense;matuasto de Alicahue;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
42;Phymaturus vociferator;matuasto del Laja, matuasto vociferador;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
43;Pichikadi hualpensis;caracol costilludo de Hualpén;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
44;Praocis medvedevi;;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Equipo UM logró que el “Lagarto gruñidor de Álvaro” sea considerado “en peligro crítico de extinción”;Diario Mayor;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.diariomayor.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Declaran al Lagarto gruñidor de Álvaro, especie endémica chilena, en «Peligro Crítico de Extinción;Fundación Terram;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Ministra Rojas expone dramático estado del pingüino de Humboldt, lagarto gruñidor y otras 70 especies;El Desconcierto;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;0;1;Nacional;1;0;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Pingüino de Humboldt y lagarto gruñidor en peligro;Diario Sustentable;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
